Starting sensor readings... Press CTRL+C to stop
2025-03-20 22:23:01 - 6 - 100 cm
2025-03-20 22:23:03 - 1 - 100 cm
2025-03-20 22:23:03 - 2 - 100 cm
2025-03-20 22:23:03 - 3 - 100 cm
2025-03-20 22:23:03 - 4 - 100 cm
2025-03-20 22:23:03 - 5 - 100 cm
2025-03-20 22:23:03 - 6 - 100 cm
2025-03-20 22:23:05 - 1 - 100 cm
2025-03-20 22:23:05 - 2 - 100 cm
2025-03-20 22:23:05 - 3 - 100 cm
2025-03-20 22:23:05 - 4 - 100 cm
2025-03-20 22:23:05 - 5 - 100 cm
2025-03-20 22:23:05 - 6 - 100 cm
2025-03-20 22:23:07 - 1 - 100 cm
2025-03-20 22:23:07 - 2 - 100 cm
2025-03-20 22:23:07 - 3 - 100 cm
2025-03-20 22:23:07 - 4 - 100 cm
2025-03-20 22:23:07 - 5 - 100 cm
2025-03-20 22:23:07 - 6 - 100 cm
2025-03-20 22:23:09 - 1 - 100 cm
2025-03-20 22:23:09 - 2 - 100 cm
2025-03-20 22:23:09 - 3 - 100 cm
2025-03-20 22:23:09 - 4 - 100 cm
2025-03-20 22:23:09 - 5 - 100 cm
2025-03-20 22:23:09 - 6 - 100 cm
2025-03-20 22:23:11 - 1 - 100 cm
2025-03-20 22:23:11 - 2 - 100 cm
2025-03-20 22:23:11 - 3 - 100 cm
2025-03-20 22:23:11 - 4 - 100 cm
2025-03-20 22:23:11 - 5 - 100 cm
2025-03-20 22:23:11 - 6 - 100 cm
2025-03-20 22:23:13 - 1 - 100 cm
2025-03-20 22:23:13 - 2 - 100 cm
2025-03-20 22:23:13 - 3 - 100 cm
2025-03-20 22:23:13 - 4 - 100 cm
2025-03-20 22:23:13 - 5 - 100 cm
2025-03-20 22:23:13 - 6 - 100 cm
2025-03-20 22:23:16 - 1 - 100 cm
2025-03-20 22:23:16 - 2 - 100 cm
2025-03-20 22:23:16 - 3 - 100 cm
2025-03-20 22:23:16 - 4 - 100 cm
2025-03-20 22:23:16 - 5 - 100 cm
2025-03-20 22:23:16 - 6 - 100 cm
2025-03-20 22:23:17 - 1 - 100 cm
2025-03-20 22:23:17 - 2 - 100 cm
2025-03-20 22:23:17 - 3 - 100 cm
2025-03-20 22:23:17 - 4 - 100 cm
2025-03-20 22:23:17 - 5 - 100 cm
2025-03-20 22:23:17 - 6 - 100 cm
2025-03-20 22:23:19 - 1 - 100 cm
2025-03-20 22:23:19 - 2 - 100 cm
2025-03-20 22:23:19 - 3 - 100 cm
2025-03-20 22:23:19 - 4 - 100 cm
2025-03-20 22:23:19 - 5 - 100 cm
2025-03-20 22:23:19 - 6 - 100 cm
2025-03-20 22:23:21 - 1 - 100 cm
2025-03-20 22:23:21 - 2 - 100 cm
2025-03-20 22:23:21 - 3 - 100 cm
2025-03-20 22:23:21 - 4 - 100 cm
2025-03-20 22:23:21 - 5 - 100 cm
2025-03-20 22:23:21 - 6 - 100 cm
2025-03-20 22:23:23 - 2 - 100 cm
2025-03-20 22:23:23 - 3 - 100 cm
2025-03-20 22:23:23 - 4 - 100 cm
2025-03-20 22:23:23 - 5 - 100 cm
2025-03-20 22:23:23 - 6 - 100 cm
2025-03-20 22:23:25 - 1 - 100 cm
2025-03-20 22:23:25 - 2 - 100 cm
2025-03-20 22:23:25 - 3 - 100 cm
2025-03-20 22:23:25 - 4 - 100 cm
2025-03-20 22:23:25 - 5 - 100 cm
2025-03-20 22:23:25 - 6 - 100 cm
2025-03-20 22:23:26 - 1 - 100 cm
2025-03-20 22:23:26 - 2 - 100 cm
2025-03-20 22:23:26 - 3 - 100 cm
2025-03-20 22:23:26 - 4 - 100 cm
2025-03-20 22:23:26 - 5 - 100 cm
2025-03-20 22:23:26 - 6 - 100 cm
2025-03-20 22:23:28 - 1 - 100 cm
2025-03-20 22:23:28 - 2 - 100 cm
2025-03-20 22:23:28 - 3 - 100 cm
2025-03-20 22:23:28 - 4 - 100 cm
2025-03-20 22:23:28 - 5 - 100 cm
2025-03-20 22:23:28 - 6 - 100 cm
2025-03-20 22:23:32 - 1 - 100 cm
2025-03-20 22:23:32 - 2 - 100 cm
2025-03-20 22:23:32 - 3 - 100 cm
2025-03-20 22:23:32 - 4 - 100 cm
2025-03-20 22:23:32 - 5 - 100 cm
2025-03-20 22:23:32 - 6 - 100 cm
2025-03-20 22:23:34 - 1 - 100 cm
2025-03-20 22:23:34 - 2 - 100 cm
2025-03-20 22:23:34 - 3 - 100 cm
2025-03-20 22:23:34 - 4 - 100 cm
2025-03-20 22:23:34 - 5 - 100 cm
2025-03-20 22:23:34 - 6 - 100 cm
2025-03-20 22:23:36 - 1 - 100 cm
2025-03-20 22:23:36 - 2 - 100 cm
2025-03-20 22:23:36 - 3 - 100 cm
2025-03-20 22:23:36 - 4 - 100 cm
2025-03-20 22:23:36 - 5 - 100 cm
2025-03-20 22:23:36 - 6 - 100 cm
2025-03-20 22:23:37 - 1 - 100 cm
2025-03-20 22:23:37 - 2 - 100 cm
2025-03-20 22:23:37 - 3 - 100 cm
2025-03-20 22:23:37 - 4 - 100 cm
2025-03-20 22:23:37 - 5 - 100 cm
2025-03-20 22:23:37 - 6 - 100 cm
2025-03-20 22:23:39 - 1 - 100 cm
2025-03-20 22:23:39 - 2 - 100 cm
2025-03-20 22:23:39 - 3 - 100 cm
2025-03-20 22:23:39 - 4 - 100 cm
2025-03-20 22:23:39 - 5 - 100 cm
2025-03-20 22:23:39 - 6 - 100 cm
2025-03-20 22:23:41 - 1 - Measurement Error
2025-03-20 22:23:41 - 2 - 100 cm
2025-03-20 22:23:41 - 3 - 100 cm
2025-03-20 22:23:41 - 4 - 100 cm
2025-03-20 22:23:41 - 5 - 100 cm
2025-03-20 22:23:41 - 6 - 100 cm
2025-03-20 22:23:43 - 1 - 100 cm
2025-03-20 22:23:43 - 2 - 100 cm
2025-03-20 22:23:43 - 3 - 100 cm
2025-03-20 22:23:43 - 4 - 100 cm
2025-03-20 22:23:43 - 5 - 100 cm
2025-03-20 22:23:43 - 6 - 100 cm
2025-03-20 22:23:44 - 1 - 100 cm
2025-03-20 22:23:44 - 2 - 100 cm
2025-03-20 22:23:44 - 3 - 100 cm
2025-03-20 22:23:44 - 4 - 100 cm
2025-03-20 22:23:44 - 5 - 100 cm
2025-03-20 22:23:44 - 6 - 100 cm
2025-03-20 22:23:46 - 1 - 100 cm
2025-03-20 22:23:46 - 2 - 100 cm
2025-03-20 22:23:46 - 3 - 100 cm
2025-03-20 22:23:46 - 4 - 100 cm
2025-03-20 22:23:46 - 5 - 100 cm
2025-03-20 22:23:46 - 6 - 100 cm
2025-03-20 22:23:48 - 1 - 100 cm
2025-03-20 22:23:48 - 2 - 100 cm
2025-03-20 22:23:48 - 3 - 100 cm
2025-03-20 22:23:48 - 4 - 100 cm
2025-03-20 22:23:48 - 5 - 100 cm
2025-03-20 22:23:48 - 6 - 100 cm
2025-03-20 22:23:50 - 1 - 100 cm
2025-03-20 22:23:50 - 2 - 100 cm
2025-03-20 22:23:50 - 3 - 100 cm
2025-03-20 22:23:50 - 4 - 100 cm
2025-03-20 22:23:50 - 5 - 100 cm
2025-03-20 22:23:50 - 6 - 100 cm
